OBJECTID,FID_PA_Tra,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,FID_PA_Mun,STATEFP10_,COUNTYFP_1,COUSUBFP10,COUSUBNS10,GEOID10_1,NAME10_1,NAMELSAD_1,LSAD10,CLASSFP10,MTFCC10_1,CNECTAFP10,NECTAFP10,NCTADVFP10,FUNCSTAT_1,ALAND10_1,AWATER10_1,INTPTLAT_1,INTPTLON_1,Shape_Le_1,Shape_Le_2,Shape_Area
1,0,42,003,560500,42003560500,5605,Census Tract 5605,G5020,S,464657.000000000000000,0.000000000000000,+40.4377740,-079.8912723,3615.069940870000210,132,42,003,85188,01214842,4200385188,Wilkinsburg,Wilkinsburg borough,21,C5,G4040, , , ,F,5830400.000000000000000,0.000000000000000,+40.4442008,-079.8733331,18376.276488799998333,2749.863124245469407,464619.124180784856435
2,1,42,003,560400,42003560400,5604,Census Tract 5604,G5020,S,511109.000000000000000,0.000000000000000,+40.4446636,-079.8902459,4375.618495599999733,132,42,003,85188,01214842,4200385188,Wilkinsburg,Wilkinsburg borough,21,C5,G4040, , , ,F,5830400.000000000000000,0.000000000000000,+40.4442008,-079.8733331,18376.276488799998333,3326.389899060797234,511067.579322944337036
3,2,42,003,552400,42003552400,5524,Census Tract 5524,G5020,S,2044853.000000000000000,200574.000000000000000,+40.3332132,-079.8436326,12301.278975900000660,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,9372.059335813091820,2245253.884264620952308
4,3,42,003,552300,42003552300,5523,Census Tract 5523,G5020,S,830982.000000000000000,0.000000000000000,+40.3417540,-079.8513513,6311.884372450000228,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,4808.516578564799602,830919.279869860969484
5,4,42,003,552200,42003552200,5522,Census Tract 5522,G5020,S,804538.000000000000000,243347.000000000000000,+40.3488998,-079.8775090,6159.004333560000305,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,4690.300476104321206,1047798.901809053728357
6,5,42,003,552100,42003552100,5521,Census Tract 5521,G5020,S,692578.000000000000000,85815.000000000000000,+40.3450536,-079.8633846,6294.405047670000386,29,42,003,46256,01214807,4200346256,McKeesport,McKeesport city,25,C5,G4040, , , ,F,13064754.000000000000000,952790.000000000000000,+40.3418771,-079.8450070,29458.802165500001138,4793.983557200709583,778330.101789624546655
7,6,42,003,060500,42003060500,605,Census Tract 605,G5020,S,657516.000000000000000,0.000000000000000,+40.4576591,-079.9662264,5959.903027889999976,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4535.173558855867668,657464.639866271987557
8,7,42,003,060300,42003060300,603,Census Tract 603,G5020,S,1119311.000000000000000,144825.000000000000000,+40.4649258,-079.9653098,6904.298390429999927,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,5250.129740748485347,1264030.999164831126109
9,8,42,003,051100,42003051100,511,Census Tract 511,G5020,S,183645.000000000000000,0.000000000000000,+40.4416579,-079.9764621,2445.179322399999819,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,1859.780578240070554,183629.225433528947178
10,9,42,003,051000,42003051000,510,Census Tract 510,G5020,S,643937.000000000000000,0.000000000000000,+40.4443798,-079.9675345,5636.774979560000247,51,42,003,61000,01214818,4200361000,Pittsburgh,Pittsburgh city,25,C5,G4040, , , ,F,143399923.000000000000000,7693613.000000000000000,+40.4397525,-079.9765919,162549.911973000009311,4288.462955031252932,643883.217522849445231
